PLAYER,TEAM,CONFERENCE,POSITION,LEAGUE,GP,PPG,RPG,APG,SPG,BPG,TPG,PA,PF,3PMPG,3PAPG,FGMPG,FGAPG,WIN,LOSS
jonoffdasprinkz,Las Vegas Thrill,Western,N/A,EBA,1,13,2,2,0,2,1,0,2,3,3,5,5,1,0
weflyhigh,Free Agents,N/A,N/A,EBA,2,11,2.5,0.5,0,0,0.5,0,0.5,3,3.5,4,4.5,0,2
J5yve,Indiana Bandits,Eastern,N/A,EBA,2,48.5,2,8,0,0,1,0,1,9,12,19,25,0,2
khan,Chicago Aces,Eastern,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
red,Free Agents,N/A,N/A,EBA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
unitdiag,Free Agents,N/A,N/A,EBA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hezi,Philadelphia Glory,Eastern,N/A,EBA,1,41,8,7,0,0,1,0,0,7,9,17,20,1,0
lays,Orlando Supernovas,Eastern,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016LebronJamess,Phoenix Power,Western,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plou899,Phoenix Power,Western,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corbin,Orlando Supernovas,Eastern,N/A,EBA,2,27,1.5,3.5,0,0,0,0,2,6,8.5,10,12.5,1,1
GM_WRLD,Free Agents,N/A,N/A,EBA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RBA,Free Agents,N/A,N/A,EBA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cupidbalenci,Indiana Bandits,Eastern,N/A,EBA,2,9.5,2.5,10,0,0,0,0,0.5,1.5,2.5,3.5,7,0,2
internetfelon,Free Agents,N/A,N/A,EBA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
lefthanded,Washington Volt,Western,N/A,EBA,5,19,7,3,0,1.6,1.4,0,0.6,3,3,8,10.2,2,3
lucki inducer,Seattle Reign,Western,N/A,EBA,2,28.5,1,7,2.5,0,0.5,0,0.5,8.5,11.5,9.5,12.5,2,0
pilatz,Portland Vipers,Western,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joey,Indiana Bandits,Eastern,N/A,EBA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GreenFuhNihka,Houston Hornets,Western,N/A,EBA,1,5,1,1,0,0,0,0,0,1,1,2,3,0,1
FxdeMade,Seattle Reign,Western,N/A,EBA,2,34,2,13.5,0,0,1,0,0,7.5,9,13,15,2,0
cyrokkz,Atlanta Breeze,Eastern,N/A,EBA,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1
xxxx,Indiana Bandits,Eastern,N/A,EBA,2,8,5,4,0,0,2,0,0.5,1,2,3.5,6,0,2
kqco,Portland Vipers,Western,N/A,EBA,1,17,2,4,0,0,0,0,0,2,4,7,11,1,0
BewareOfThe12th,San Diego Storm,Western,N/A,EBA,1,8,3,4,0,1,1,0,2,2,2,3,3,0,1
lesuver,Portland Vipers,Western,N/A,EBA,1,4,0,0,1,0,0,0,0,0,0,2,2,1,0
ItsRillaYT,Portland Vipers,Western,N/A,EBA,3,3.333,0.333,1.333,0,0,2.333,0,0,0.667,1.333,1.333,3,0,3
ffaiit,Free Agents,N/A,N/A,EBA,2,5.5,2,1,0.5,0,0.5,0,2,1.5,4,2,6,0,2
redbeansandfranks,Seattle Reign,Western,N/A,EBA,2,27.5,5.5,7,0,0,0.5,0,1,5.5,7,10.5,12.5,2,0
life72,San Diego Storm,Western,N/A,EBA,1,15,4,1,0,2,1,0,1,3,3,6,7,0,1
moon,San Diego Storm,Western,N/A,EBA,1,2,0,0,0,0,0,0,0,0,3,1,4,0,1
tfpr,Portland Vipers,Western,N/A,EBA,1,42,4,0,0,0,0,0,2,7,9,17,19,1,0
OPOYWINNER,San Diego Storm,Western,N/A,EBA,1,18,10,2,0,0,3,0,0,1,2,8,12,0,1
GoatedRahim,Houston Hornets,Western,N/A,EBA,11,31.909,2.273,14.909,3.545,0,3.273,0,1.182,5.182,8.727,13.364,20.182,7,4
IlIlIlIlIlIl,Atlanta Breeze,Eastern,N/A,EBA,1,2,3,1,0,0,2,0,0,0,0,1,2,0,1
4re1,Philadelphia Glory,Eastern,N/A,EBA,1,30,3,19,4,0,0,0,2,4,7,10,15,1,0
Rival,Philadelphia Glory,Eastern,N/A,EBA,1,10,6,1,1,0,1,0,2,2,4,4,7,1,0
CreamyWhiteFemale,Charlotte Empire,Eastern,N/A,EBA,1,7,3,4,0,4,1,0,2,1,1,2,2,0,1
user,Charlotte Empire,Eastern,N/A,EBA,1,14,1,3,0,4,1,0,4,2,4,6,8,0,1
impulse,Orlando Supernovas,Eastern,N/A,EBA,5,20.8,4,8.6,0.8,1.2,1.2,0,1.8,3.6,5.6,8.6,12.8,3,2
deltaxgoat,Minnesota Huskies,Eastern,N/A,EBA,1,35,10,11,0,4,0,0,2,5,6,15,19,1,0
MIR,Portland Vipers,Western,N/A,EBA,1,5,5,4,5,5,1,0,6,1,1,2,4,1,0
tacofreak2026,Miami Beach Kings,Eastern,N/A,EBA,2,16.5,5.5,2,0,0,0,0,0,0.5,0.5,8,8,0,2
shesotinder,Nashville Anthem,Western,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoqq,Miami Beach Kings,Eastern,N/A,EBA,2,9,4.5,3,0,0,1,0,0.5,1,1.5,4,6,0,2
Wittyyb,Chicago Aces,Eastern,N/A,EBA,2,13.5,6.5,4.5,0,0,0,0,0,2.5,4,5.5,7,2,0
ArcReturned,Miami Beach Kings,Eastern,N/A,EBA,1,5,0,2,0,0,0,0,0,1,2,2,3,0,1
rufus,Philadelphia Glory,Eastern,N/A,EBA,1,25,5,0,0,2,0,0,2,7,7,9,9,1,0
Latwon,Houston Hornets,Western,N/A,EBA,1,15,2,1,0,0,1,0,0,3,3,6,6,1,0
ummistaa,New York Knights,Eastern,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buq,New York Knights,Eastern,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_feer,New York Knights,Eastern,N/A,EBA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alexander,New York Knights,Eastern,N/A,EBA,1,34,1,5,3,0,1,0,4,8,10,13,19,0,1
Kermit,New York Knights,Eastern,N/A,EBA,1,23,3,3,0,0,2,0,1,3,5,10,15,0,1
sovarian,New York Knights,Eastern,N/A,EBA,1,6,0,2,0,0,0,0,0,2,2,2,2,0,1
baoky,Nashville Anthem,Western,N/A,EBA,2,7,5.5,1,1,1,1,0,3.5,1,1,3,3.5,1,1
iukbi,Seattle Reign,Western,N/A,EBA,1,23,3,3,0,0,0,0,3,7,10,8,11,1,0
gee,Miami Beach Kings,Eastern,N/A,EBA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mond,Seattle Reign,Western,N/A,EBA,1,6,2,0,0,4,0,0,0,2,2,2,2,1,0
bumpmade,Seattle Reign,Western,N/A,EBA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ymmit,San Franciso Bears,Western,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VERYRAREFOREVER,San Franciso Bears,Western,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naruto,Baltimore Nighthawks,Eastern,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atv,Baltimore Nighthawks,Eastern,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snaz,Baltimore Nighthawks,Eastern,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryce,Indiana Bandits,Eastern,N/A,EBA,2,24,1,4,0,0,1,0,0,7,9,8.5,12.5,0,2
TechyluvBlox,Baltimore Nighthawks,Eastern,N/A,EBA,1,37,0,13,2,0,1,0,1,1,5,18,26,1,0
Critical,Sacramento Rage,Western,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raro,Sacramento Rage,Western,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jtc,San Franciso Bears,Western,N/A,EBA,1,44,1,3,1,0,1,0,0,14,18,15,20,1,0
vvdaguy,Sacramento Rage,Western,N/A,EBA,1,50,5,12,1,0,1,0,3,15,18,17,21,1,0
ricky shanklin,San Franciso Bears,Western,N/A,EBA,1,9,4,5,0,0,1,0,1,1,2,4,5,1,0
talkdoesitall,San Franciso Bears,Western,N/A,EBA,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
trog,San Franciso Bears,Western,N/A,EBA,1,33,4,26,1,0,0,0,1,2,4,13,15,1,0
vmzo,San Franciso Bears,Western,N/A,EBA,1,33,5,4,0,0,1,0,0,8,11,12,15,1,0
warconflict,San Franciso Bears,Western,N/A,EBA,1,2,0,0,0,0,0,0,0,0,1,1,2,1,0
gam1ngdca,San Franciso Bears,Western,N/A,EBA,1,15,3,0,0,0,1,0,1,3,4,6,9,1,0
jerm,San Franciso Bears,Western,N/A,EBA,1,30,1,5,1,0,0,0,0,8,11,11,16,1,0
jiyuda,Sacramento Rage,Western,N/A,EBA,1,93,5,21,0,0,2,0,1,24,33,34,44,1,0
1344,Miami Beach Kings,Eastern,N/A,EBA,1,19,0,1,1,0,0,0,1,3,5,8,11,0,1
Lucurious,Miami Beach Kings,Eastern,N/A,EBA,1,23,4,16,0,0,0,0,1,3,10,10,21,0,1
Panda,Oregon Skyhawks,Western,N/A,EBA,1,2,0,0,0,0,0,0,1,0,0,1,2,0,1
smoke,Oregon Skyhawks,Western,N/A,EBA,1,22,0,1,0,0,1,0,0,6,8,8,10,0,1
ace,Las Vegas Thrill,Western,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IJmanI,Oregon Skyhawks,Western,N/A,EBA,1,26,10,4,0,0,2,0,1,0,0,13,14,0,1
LeHaz_James,Oregon Skyhawks,Western,N/A,EBA,1,42,0,32,1,0,1,0,7,8,9,17,19,0,1
xPJ,Oregon Skyhawks,Western,N/A,EBA,1,15,2,5,0,0,0,0,0,5,7,5,7,0,1
zaxsire,Oregon Skyhawks,Western,N/A,EBA,1,3,0,0,0,0,1,0,1,1,1,1,1,0,1
GokuNarutoForMe,Chicago Aces,Eastern,N/A,EBA,4,33.5,3.25,4.25,2.5,0,0.75,0,1,7.25,8.75,12.75,16.25,3,1
dtc,Las Vegas Thrill,Western,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rico,Las Vegas Thrill,Western,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TragicJbro,Washington Volt,Western,N/A,EBA,1,6,1,1,0,0,0,0,0,2,2,2,2,0,1
yonkowise,Washington Volt,Western,N/A,EBA,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1
legl,Washington Volt,Western,N/A,EBA,1,6,1,0,0,0,1,0,1,2,2,2,3,0,1
akeem,Washington Volt,Western,N/A,EBA,1,3,0,0,0,0,1,0,0,1,3,1,3,0,1
YoBreeze,Washington Volt,Western,N/A,EBA,1,5,1,1,0,1,0,0,0,1,1,2,2,0,1
Mammoth,Las Vegas Thrill,Western,N/A,EBA,2,7.5,5,3,0,0,1.5,0,0,1.5,3.5,3.5,7,1,1
